Clock,Pearson_r,MAE_years,Mean_bias_years,RMSE_years
Horvathv1,0.9787860582291579,17.712701777428638,-11.65045027889626,20.677538450981988
Horvathv2,0.9893384740848037,18.07828757626424,-18.07828757626424,19.256778671458566
Hannum,0.9880388555873847,18.40526107970652,-18.40526107970652,18.651213422759298
Lin,0.9925371830169833,23.40269794919253,-23.40269794919253,26.737335562807978
VidalBralo,0.806936916619458,10.078413916006406,-0.7279106577395347,11.539194526395224
PhenoAge,0.9978167364881094,48.08122322435191,-19.175050454268494,56.61528697580748
HRSInCHPhenoAge,0.9067397136162827,25.46753858788066,-25.46753858788066,26.90417244423711
YingCausAge,0.9983819954009739,25.25510227522169,-22.02284237930369,32.072008826764225
YingDamAge,0.997357231432095,19.392965174912593,-9.353578148008626,23.179633156335512
YingAdaptAge,0.9941998293290731,28.187546176936987,-28.187546176936987,31.081859585020013
StocP,0.9665120550967039,16.676975927693164,-16.676975927693164,17.883133305707556
StocH,0.9606860822735617,11.89570017776113,-11.89570017776113,12.829098210642096
AltumAge,0.9514202812306936,17.50338700992287,-17.50338700992287,18.040641904058866
DunedinPACE,0.15488398315972654,,,
