Clock,Pearson_r,MAE_years,Mean_bias_years,RMSE_years
Horvathv1,0.9899529293241724,21.145865504911516,-0.3802572405049736,24.567515511401577
Horvathv2,0.9950341808355148,14.372692665829057,-13.884671033303434,16.75583149604085
Hannum,0.9898183271926041,20.100045880970814,-20.100045880970814,20.369671908115855
Lin,0.9929116498836694,18.744582707535365,-14.599065538343062,22.43195336678378
VidalBralo,0.8718600275958617,13.071965461065837,-7.621727369049902,15.906048929247286
PhenoAge,0.9976743372571559,57.27875113499441,11.310695565103908,65.77166201040842
HRSInCHPhenoAge,0.9036294186414153,30.45043778062737,-30.45043778062737,32.43870674841281
YingCausAge,0.9978686347485198,25.164926775381716,-8.951797354874719,29.704143677286915
YingDamAge,0.996351270082443,22.939323084247086,2.058484941846387,26.592107762533704
YingAdaptAge,0.9935072749128687,21.903587441671874,-21.010788855628924,26.676493010937758
StocP,0.9733522753755811,20.90257096688335,-20.90257096688335,22.390478543025353
StocH,0.9697459864370916,13.792032973967213,-13.792032973967213,14.862204423428508
AltumAge,0.9659502802450927,14.58292372713489,-14.58292372713489,15.894049367773995
DunedinPACE,-0.15222947033299905,,,
