Clock,Pearson_r,MAE_years,Mean_bias_years,RMSE_years
Horvathv1,0.9183434706089898,4.770649963104331,-2.33237603925814,6.32212320457189
Horvathv2,0.9401871040036845,4.449530516175531,-2.697846136889149,5.898638489228659
Hannum,0.9460743050004257,5.512009011597513,4.7482107075479405,6.781324389478812
Lin,0.9318010916460666,4.120138417362542,-5.942632584395408e-08,5.344884469730446
VidalBralo,0.7272115965550489,9.471725268152438,-4.443322308554875,11.711570610955986
PhenoAge,0.8520562743130796,9.041777906226322,-7.889152291533264,11.054881267068295
HRSInCHPhenoAge,0.8682236834512551,6.353876590167658,-3.372990592067058,8.098260105015875
YingCausAge,0.9009572944376862,5.953188893393466,-4.198805724457495,7.694414327130249
YingDamAge,0.6913260739473919,8.884746686106913,-3.9499324493895656,12.176143168829508
YingAdaptAge,0.5549733429415544,12.024696807412498,-7.252972123146203,15.097342019894134
StocP,0.7169028883895843,12.076829399454434,-10.156258761364356,14.777343644657597
StocH,0.7738981788543888,9.550503849659908,-6.729942453940059,11.742639713023832
AltumAge,0.9600940963236579,3.4726452478548375,-1.4409960072215011,4.70215069394351
DunedinPACE,0.13509222590556524,,,
