Clock,Pearson_r,MAE_years,Mean_bias_years,RMSE_years
Horvathv1,0.9787860592959376,17.712701739740353,-11.650450375930797,20.677538515848457
Horvathv2,0.9893384736931317,18.078287604916714,-18.078287604916714,19.256778790324827
Hannum,0.9880388544628955,18.405261345910713,-18.405261345910713,18.651213678106014
PhenoAge,0.9978167368658073,48.081223873559814,-19.17505124816819,56.6152881394773
Lin,0.9925371837779738,23.402698168967632,-23.402698168967632,26.737336013993804
VidalBralo,0.8069369689007406,10.078413786209007,-0.727910772536407,11.539194371843982
Zhang_10,0.9448969067457151,53.38740089490055,-53.38740089490055,55.137970461683246
YingCausAge,0.9983819963322441,25.25510259518682,-22.02284267784108,32.07200932680071
YingDamAge,0.9973572308325893,19.39296584040209,-9.353578373168553,23.179634005642516
YingAdaptAge,0.9941998278687383,28.187546373786002,-28.187546373786002,31.081859943308448
