Clock,Pearson_r,MAE_years,Mean_bias_years,RMSE_years
Horvathv1,0.9899529293312824,21.145865651903804,-0.3802572004422754,24.567515783607337
Horvathv2,0.9950341800086638,14.372693065036872,-13.884670993147076,16.755831647371338
Hannum,0.9898183257833219,20.100045991139336,-20.100045991139336,20.36967201515432
PhenoAge,0.9976743372334222,57.278751859609464,11.310695841140692,65.77166305900789
Lin,0.9929116506920628,18.744583317288104,-14.599065785039857,22.431953779515542
VidalBralo,0.8718600162309267,13.071965382604244,-7.621727601865952,15.90604901890395
Zhang_10,0.9127486468398411,61.89931351365113,-61.89931351365113,64.23046078726738
YingCausAge,0.9978686355128635,25.16492680385154,-8.951796763722278,29.70414378865054
YingDamAge,0.9963512703611636,22.939322864335253,2.058485020739311,26.592107645331502
YingAdaptAge,0.993507273653572,21.90358764093388,-21.010788729704487,26.67649312356697
